Cell Number,motif,motif.1,motif.2,motif.3,motif.4,Nalm 6 Cytotoxicity,IL7RaKLRG1 stemness
2618,1,5,3,17,0,0.945297026,29.3
6207,3,6,6,17,0,0.817898668,23.7
4321,11,9,2,17,0,0.447043348,23.1
3180,9,2,10,17,0,0.254086091,28.6
1031,5,3,3,17,0,0.860022075,18.2
9076,8,3,12,17,0,0.535947021,14.7
51,2,8,7,17,0,1.089054869,12.2
2601,8,6,11,17,0,0.788248991,27.4
410,10,1,2,17,0,0.288120474,19.7
5755,8,11,2,17,0,0.493475861,22.4
13379,3,8,11,17,0,0.633045556,14.8
1495,11,10,10,17,0,0.855894404,20.9
5353,12,3,2,17,0,0.607145557,12.8
10006,5,3,6,17,0,0.780326283,16.5
4053,8,3,13,17,0,0.689411694,19.8
271,7,11,11,17,0,0.962352016,5.36
3875,2,11,7,17,0,0.821421552,14.9
2560,12,3,4,17,0,0.468528402,9.66
4266,10,4,9,17,0,0.40266711,20.4
2704,6,2,2,17,0,0.839126688,17.6
194,1,13,6,17,0,1.090113246,11.2
648,11,8,3,17,0,0.880252196,8.85
418,1,6,2,17,0,0.975838764,7.6
1862,11,11,1,17,0,0.240236472,17.4
954,9,9,9,17,0,0.331030103,36
3234,10,2,17,0,0,0.388651174,14.5
4961,10,10,9,17,0,0.372442885,40.4
1191,6,9,11,17,0,0.74030451,10.8
2303,8,2,11,7,17,0.593598331,14.2
4827,7,1,6,17,0,0.845628147,32.6
351,3,8,6,3,17,0.997792528,12.3
14594,5,9,3,17,0,0.576845734,16.5
1635,11,6,3,1,17,0.762560668,15.8
3494,12,13,2,17,0,0.481969791,17.1
5331,10,1,12,17,0,0.439604469,26.4
10112,8,6,1,17,0,0.762636266,30.5
2552,11,6,12,17,0,0.443611183,10.1
4439,12,1,2,17,0,0.459003009,9.89
13385,1,10,2,17,0,0.834303512,36.8
10679,8,2,12,17,0,0.508081465,14.1
2849,11,6,6,17,0,0.873554181,23.8
4900,9,12,17,0,0,0.432604061,16
7195,2,2,11,17,0,0.719756876,12.2
2050,11,5,11,17,0,0.876547876,27.9
3625,1,7,9,17,0,0.456341947,12.9
519,10,1,1,17,0,0.04842831,25
2194,1,1,10,17,0,0.366198461,16.6
150,11,6,2,17,0,1.197447799,22.5
3593,7,1,6,17,0,0.871225752,31.4
3196,12,8,12,17,0,0.517501021,17.7
4303,1,17,0,0,0,0.440541889,11.6
11395,8,6,9,11,17,0.657342869,14.8
9603,13,2,6,17,0,0.588669318,20.4
7382,9,1,7,17,0,0.654485251,25.5
1491,1,13,17,0,0,0.686478477,7.45
3205,9,1,9,17,0,0.330032205,23.5
1510,1,1,1,2,17,0.44559186,8.11
2090,10,9,9,17,0,0.330606752,35
7043,2,8,11,17,0,0.751946658,13.8
135,6,11,12,17,0,1.102133386,11
2334,4,1,17,0,0,0.200063503,10.1
8259,6,3,12,17,0,0.59825519,12.5
6837,5,6,12,17,0,0.750737084,12.9
7528,10,8,6,17,0,0.595337093,22.3
442,2,7,8,17,0,0.866765449,12.3
2040,10,10,9,17,0,0.209649375,35.6
4814,12,11,2,17,0,0.670920334,12
5474,12,10,10,17,0,0.48893996,20.7
5281,11,8,5,17,0,0.866206021,17.3
816,2,13,11,17,0,0.84546183,13.8
2647,2,2,8,17,0,0.777408186,19.1
8209,7,8,9,17,0,0.752974796,26.7
4376,11,12,3,9,17,0.826592479,7.17
4742,11,13,3,6,17,0.772312856,24.4
2128,12,12,11,17,0,0.63470872,10.8
2738,1,1,8,17,0,0.875202226,13.4
1884,12,5,8,17,0,0.782851268,21.2
2857,12,5,6,17,0,0.831309817,18.7
668,12,9,11,17,0,0.858116996,8.43
12561,6,6,11,17,0,0.850300125,19.1
4063,13,2,8,17,0,0.519587535,10.3
3204,10,2,10,17,0,0.776138133,29.5
1429,3,6,6,17,0,0.805107425,26.7
2935,5,11,2,17,0,0.50644854,19.5
157,2,11,13,2,17,1.114304722,17.1
836,12,2,17,0,0,0.401215622,11.4
8159,1,3,11,17,0,0.6632849,19.2
2964,6,1,13,17,0,0.470554438,14.8
9999,12,12,9,17,0,0.479384327,14.2
3280,6,6,11,17,0,0.771420796,12.1
2191,1,2,2,17,0,0.492901314,10.9
3645,2,11,13,17,0,0.211100863,17.4
4348,8,13,2,17,0,0.503288529,15.1
2091,3,1,17,0,0,0.401593613,12.5
499,3,9,8,17,0,0.847729781,11.5
10566,5,1,13,17,0,0.797260315,11.6
9012,2,3,6,17,0,0.759128502,19
516,8,8,6,17,0,0.965753942,6.07
3561,12,3,8,17,0,0.684815313,11.4
1145,7,12,9,17,0,0.84780538,10.5
1099,2,11,6,17,0,0.833895281,18.1
1641,1,13,3,17,0,0.600976731,17.5
4552,9,1,1,17,0,0.342823448,20.7
1593,7,6,6,17,0,0.987722826,27.6
4133,10,7,17,0,0,0.314428703,12.6
7326,3,8,12,17,0,0.635978772,10.5
3606,6,11,8,17,0,0.481667397,17
3949,10,9,9,17,0,0.110842317,37.5
4262,12,1,17,0,0,0.049547166,18.5
4325,10,9,1,17,0,0.163594853,37.2
4302,1,10,1,17,0,0.346815041,20.4
4866,8,4,11,17,0,0.487140719,12.2
1252,3,11,12,17,0,0.820877243,18.4
1585,11,1,7,17,0,0.534510652,16
2914,2,8,7,17,0,0.467832897,7.55
2227,8,8,3,17,0,0.776243971,26
1020,12,8,8,17,0,0.77074041,8.08
10156,8,2,12,17,0,0.730522082,15.4
4006,12,6,5,17,0,0.830795748,20.7
1568,11,10,6,17,0,0.479338968,16.4
55,10,8,8,17,0,1.072241794,12.7
3952,8,6,8,17,0,0.749391433,15.4
541,10,7,1,17,0,0.42803792,17.4
5832,1,3,12,17,0,0.514537565,21.8
1586,10,7,7,17,0,0.772721087,22.4
1484,10,8,8,17,0,0.802023012,18.3
928,6,8,11,17,0,0.854397557,13.6
7785,8,3,11,17,0,0.823508066,10.4
4045,5,1,13,17,0,0.794327099,11.7
928,12,12,8,17,0,0.7213898,10.2
768,9,1,17,0,0,0.335762561,14
111,2,2,8,17,0,1.052707177,4.49
2903,1,1,1,17,0,0.485810188,13.3
5624,11,8,6,17,0,0.791892832,15.5
5237,3,8,7,17,0,0.582636568,11.5
4208,3,6,12,17,0,0.73986604,10.9
6243,11,10,7,17,0,0.11206701,27.9
7504,10,7,9,17,0,0.188935424,28.7
6757,10,7,2,17,0,0.392718366,22.5
4618,11,8,2,17,0,0.482317543,16.9
3365,2,8,3,17,0,0.751084836,12.4
3820,9,7,2,17,0,0.257351941,15.4
3161,6,8,8,3,17,0.744553138,13.5
15015,9,10,10,17,0,0.443913576,23.8
15065,1,8,7,17,0,0.856952781,16.4
4001,11,8,6,17,0,0.60286669,19.9
510,2,13,12,17,0,1.0129122,10.5
776,11,5,11,17,0,0.949500295,27.5
8837,6,11,11,17,0,0.476632547,18
3420,12,4,11,17,0,0.631095118,15.4
546,2,2,8,17,0,0.933896793,11.4
4481,6,8,8,17,0,0.542085608,12
1388,10,10,7,10,17,0.379791046,33.3
2746,12,9,10,17,0,0.207063911,29.5
1485,1,12,11,17,0,0.970879511,14.9
1310,8,8,8,17,0,0.891954822,20.1
2886,10,6,6,17,0,0.833532409,21.4
6955,10,9,2,17,0,0.281770211,30.3
78,1,8,6,17,0,1.001799241,32.1
586,9,1,9,17,0,0.867899424,33.5
4326,8,12,7,17,0,0.57057107,13.2
4596,2,9,9,17,0,0.501882399,28.3
2782,12,9,2,17,0,0.303648377,18.4
2049,8,8,3,17,0,0.786540468,19.4
1400,12,2,1,17,0,0.308486672,15.2
5799,1,9,17,0,0,0.395500386,22.9
585,8,9,3,17,0,0.742511982,12.1
3992,3,1,1,17,0,0.384463025,15.3
1026,11,8,4,17,0,0.683363825,11
718,9,10,10,17,0,0.410861973,26.2
4037,12,3,12,17,0,0.489620345,20
1263,8,6,2,17,0,0.85332406,14.9
2341,2,11,2,17,0,0.455434766,14
6623,10,17,0,0,0,0.37731142,12.5
2392,13,6,11,17,0,0.735012625,25.7
968,2,3,5,17,0,0.968808116,22.9
4278,11,11,9,10,17,0.093197659,44.3
4348,5,6,11,17,0,0.846127096,13.5
1301,13,2,6,17,0,0.934924931,14.6
2722,1,3,11,17,0,0.693509125,19.5
11758,11,9,10,17,0,0.375088828,39
1947,1,1,10,17,0,0.31179788,11.9
321,11,12,11,17,0,1.005654757,11.9
6335,10,1,7,17,0,0.423925369,15.6
2508,1,13,11,17,0,0.539076793,13.5
6328,12,9,10,17,0,0.269674473,21.3
540,11,6,2,17,0,1.070276236,10.6
2079,11,10,1,17,0,0.004702218,30.5
4760,8,2,5,17,0,0.959781672,28.4
12473,9,9,7,17,0,0.284461513,25.2
1118,1,12,6,17,0,0.906061477,14.2
5713,10,1,7,17,0,0.403287017,13.8
6717,10,10,9,17,0,0.2915224,42.5
2779,4,8,3,17,0,0.756346482,18.9
3136,1,10,2,17,0,0.836541224,46.2
2070,12,5,8,17,0,0.792739533,24.9
1931,1,1,9,17,0,0.430895538,13.1
2497,2,8,6,17,0,0.710957226,13.1
9618,10,10,10,17,0,0.661334462,27.9
4804,9,2,1,17,0,0.275692103,9.14
3405,13,2,5,17,0,0.910340344,34
628,10,6,11,17,0,0.820983081,12.1
828,1,12,6,17,0,0.984668652,8.99
3709,6,11,8,17,0,0.508610653,13
10767,5,6,6,17,0,0.855576891,22.4
2026,3,6,8,17,0,0.687582213,12.8
5371,6,8,8,3,17,0.764375028,22
1118,1,2,11,17,0,0.886284945,13.2
6623,11,9,2,17,0,0.353921287,25.1
2817,10,10,17,0,0,0.40684014,28.2
2780,8,6,3,17,0,0.761623248,17.1
2237,1,12,8,17,0,0.687763649,16.3
1574,3,8,10,17,0,0.704743041,18.7
1098,12,10,1,17,0,0.119596607,31.1
8242,12,17,0,0,0,0.430759461,10.2
6571,9,11,11,17,0,0.394714163,29
3385,7,7,3,17,0,0.781747532,15.5
5903,10,9,7,17,0,0.094951541,32.8
5152,7,1,12,17,0,0.503772358,10.6
2002,8,12,7,17,0,0.666384433,19.5
873,6,9,8,17,0,0.896006895,15.4